eps1, min_samples1, n_clusters_, n_noise_
1, 12, 1, 897
1, 13, 0, 909
1, 14, 0, 909
1, 15, 0, 909
1, 16, 0, 909
1, 17, 0, 909
1, 18, 0, 909
1, 19, 0, 909
11, 1, 416, 0
11, 2, 139, 277
11, 3, 70, 415
11, 4, 35, 527
11, 5, 26, 566
11, 6, 17, 611
11, 7, 11, 650
11, 8, 10, 664
11, 9, 10, 667
11, 10, 6, 707
11, 11, 5, 718
11, 12, 4, 739
11, 13, 4, 739
11, 14, 4, 739
11, 15, 3, 753
11, 16, 3, 753
11, 17, 3, 753
11, 18, 2, 770
11, 19, 2, 770
21, 1, 345, 0
21, 2, 136, 209
21, 3, 73, 335
21, 4, 43, 427
21, 5, 25, 504
21, 6, 17, 547
21, 7, 17, 561
21, 8, 14, 583
21, 9, 13, 603
21, 10, 10, 635
21, 11, 9, 646
21, 12, 8, 659
21, 13, 7, 675
21, 14, 6, 688
21, 15, 5, 705
21, 16, 4, 721
21, 17, 4, 721
21, 18, 3, 740
21, 19, 3, 740
31, 1, 313, 0
31, 2, 133, 180
31, 3, 71, 304
31, 4, 46, 381
31, 5, 27, 460
31, 6, 18, 510
31, 7, 16, 522
31, 8, 14, 546
31, 9, 13, 554
31, 10, 11, 577
31, 11, 10, 593
31, 12, 9, 614
31, 13, 8, 626
31, 14, 7, 639
31, 15, 7, 653
31, 16, 7, 660
31, 17, 7, 661
31, 18, 5, 696
31, 19, 3, 732
41, 1, 287, 0
41, 2, 131, 156
41, 3, 75, 268
41, 4, 48, 352
41, 5, 32, 418
41, 6, 25, 455
41, 7, 18, 497
41, 8, 14, 525
41, 9, 14, 525
41, 10, 12, 543
41, 11, 12, 561
41, 12, 11, 566
41, 13, 12, 566
41, 14, 12, 579
41, 15, 10, 599
41, 16, 8, 623
41, 17, 7, 640
41, 18, 5, 674
41, 19, 5, 674
51, 1, 272, 0
51, 2, 130, 142
51, 3, 75, 252
51, 4, 48, 334
51, 5, 33, 395
51, 6, 23, 449
51, 7, 18, 481
51, 8, 14, 514
51, 9, 14, 514
51, 10, 11, 542
51, 11, 10, 552
51, 12, 11, 554
51, 13, 11, 556
51, 14, 10, 571
51, 15, 9, 585
51, 16, 8, 610
51, 17, 8, 616
51, 18, 7, 633
51, 19, 7, 633
61, 1, 254, 0
61, 2, 126, 128
61, 3, 71, 238
61, 4, 47, 314
61, 5, 34, 366
61, 6, 26, 411
61, 7, 20, 447
61, 8, 13, 497
61, 9, 12, 510
61, 10, 10, 529
61, 11, 10, 529
61, 12, 9, 546
61, 13, 9, 546
61, 14, 8, 559
61, 15, 8, 559
61, 16, 7, 575
61, 17, 7, 575
61, 18, 7, 592
61, 19, 6, 614
71, 1, 244, 0
71, 2, 123, 121
71, 3, 67, 233
71, 4, 47, 293
71, 5, 36, 339
71, 6, 29, 379
71, 7, 22, 427
71, 8, 15, 480
71, 9, 12, 504
71, 10, 12, 508
71, 11, 10, 528
71, 12, 9, 539
71, 13, 9, 539
71, 14, 8, 552
71, 15, 8, 552
71, 16, 7, 570
71, 17, 7, 570
71, 18, 6, 587
71, 19, 6, 590
81, 1, 228, 0
81, 2, 117, 111
81, 3, 67, 211
81, 4, 45, 282
81, 5, 34, 330
81, 6, 28, 368
81, 7, 23, 407
81, 8, 16, 458
81, 9, 14, 481
81, 10, 12, 501
81, 11, 11, 515
81, 12, 9, 537
81, 13, 9, 537
81, 14, 9, 537
81, 15, 8, 551
81, 16, 7, 566
81, 17, 7, 566
81, 18, 6, 583
81, 19, 6, 583
91, 1, 217, 0
91, 2, 111, 106
91, 3, 67, 194
91, 4, 49, 258
91, 5, 35, 314
91, 6, 26, 366
91, 7, 21, 404
91, 8, 16, 439
91, 9, 13, 472
91, 10, 13, 481
91, 11, 12, 498
91, 12, 10, 522
91, 13, 10, 523
91, 14, 9, 536
91, 15, 9, 536
91, 16, 7, 566
91, 17, 7, 566
91, 18, 6, 583
91, 19, 6, 583
101, 1, 203, 0
101, 2, 106, 97
101, 3, 67, 175
101, 4, 49, 235
101, 5, 36, 294
101, 6, 29, 335
101, 7, 22, 388
101, 8, 17, 423
101, 9, 14, 458
101, 10, 14, 458
101, 11, 13, 479
101, 12, 11, 503
101, 13, 10, 516
101, 14, 10, 516
101, 15, 9, 536
101, 16, 7, 566
101, 17, 7, 566
101, 18, 6, 583
101, 19, 6, 583
111, 1, 190, 0
111, 2, 105, 85
111, 3, 67, 161
111, 4, 50, 217
111, 5, 36, 280
111, 6, 29, 320
111, 7, 21, 379
111, 8, 18, 415
111, 9, 14, 449
111, 10, 14, 458
111, 11, 12, 478
111, 12, 10, 500
111, 13, 10, 501
111, 14, 10, 512
111, 15, 9, 528
111, 16, 8, 543
111, 17, 8, 547
111, 18, 6, 581
111, 19, 6, 581
121, 1, 177, 0
121, 2, 103, 74
121, 3, 70, 140
121, 4, 51, 202
121, 5, 35, 275
121, 6, 29, 309
121, 7, 22, 363
121, 8, 20, 391
121, 9, 15, 433
121, 10, 13, 451
121, 11, 11, 477
121, 12, 9, 499
121, 13, 9, 500
121, 14, 10, 500
121, 15, 10, 501
121, 16, 9, 527
121, 17, 8, 541
121, 18, 7, 558
121, 19, 7, 561
131, 1, 166, 0
131, 2, 101, 65
131, 3, 71, 125
131, 4, 51, 191
131, 5, 33, 266
131, 6, 30, 286
131, 7, 25, 326
131, 8, 20, 360
131, 9, 16, 400
131, 10, 14, 426
131, 11, 10, 476
131, 12, 8, 498
131, 13, 9, 499
131, 14, 9, 499
131, 15, 9, 499
131, 16, 10, 499
131, 17, 8, 527
131, 18, 7, 558
131, 19, 7, 558
141, 1, 160, 0
141, 2, 98, 62
141, 3, 72, 114
141, 4, 53, 175
141, 5, 35, 253
141, 6, 31, 278
141, 7, 27, 310
141, 8, 21, 350
141, 9, 18, 380
141, 10, 14, 425
141, 11, 10, 465
141, 12, 8, 491
141, 13, 8, 492
141, 14, 8, 492
141, 15, 8, 492
141, 16, 9, 492
141, 17, 8, 518
141, 18, 7, 557
141, 19, 7, 557
151, 1, 155, 0
151, 2, 96, 59
151, 3, 71, 109
151, 4, 54, 164
151, 5, 36, 238
151, 6, 30, 268
151, 7, 28, 302
151, 8, 21, 346
151, 9, 18, 375
151, 10, 15, 408
151, 11, 12, 440
151, 12, 9, 473
151, 13, 8, 486
151, 14, 8, 488
151, 15, 8, 488
151, 16, 8, 488
151, 17, 8, 507
151, 18, 8, 529
151, 19, 8, 531
161, 1, 145, 0
161, 2, 91, 54
161, 3, 69, 98
161, 4, 53, 154
161, 5, 35, 234
161, 6, 30, 265
161, 7, 27, 293
161, 8, 21, 341
161, 9, 19, 364
161, 10, 15, 400
161, 11, 13, 429
161, 12, 9, 472
161, 13, 8, 484
161, 14, 8, 484
161, 15, 8, 485
161, 16, 8, 485
161, 17, 7, 504
161, 18, 6, 523
161, 19, 6, 526
171, 1, 144, 0
171, 2, 90, 54
171, 3, 68, 98
171, 4, 52, 152
171, 5, 35, 226
171, 6, 29, 262
171, 7, 26, 290
171, 8, 22, 331
171, 9, 19, 361
171, 10, 15, 397
171, 11, 13, 421
171, 12, 9, 472
171, 13, 8, 484
171, 14, 8, 484
171, 15, 8, 484
171, 16, 8, 484
171, 17, 7, 503
171, 18, 6, 523
171, 19, 6, 526
181, 1, 136, 0
181, 2, 87, 49
181, 3, 64, 95
181, 4, 50, 142
181, 5, 34, 212
181, 6, 29, 249
181, 7, 24, 282
181, 8, 19, 331
181, 9, 17, 357
181, 10, 15, 383
181, 11, 13, 406
181, 12, 8, 472
181, 13, 7, 484
181, 14, 8, 484
181, 15, 8, 484
181, 16, 8, 484
181, 17, 7, 502
181, 18, 6, 520
181, 19, 6, 524
191, 1, 129, 0
191, 2, 82, 47
191, 3, 60, 91
191, 4, 48, 136
191, 5, 34, 198
191, 6, 26, 244
191, 7, 21, 276
191, 8, 17, 319
191, 9, 15, 344
191, 10, 14, 377
191, 11, 13, 403
191, 12, 11, 431
191, 13, 10, 444
191, 14, 8, 468
191, 15, 7, 482
191, 16, 7, 482
191, 17, 7, 482
191, 18, 6, 516
191, 19, 6, 519
201, 1, 121, 0
201, 2, 77, 44
201, 3, 56, 86
201, 4, 45, 125
201, 5, 32, 184
201, 6, 26, 227
201, 7, 19, 270
201, 8, 17, 304
201, 9, 14, 339
201, 10, 13, 360
201, 11, 13, 380
201, 12, 12, 393
201, 13, 10, 425
201, 14, 9, 453
201, 15, 7, 478
201, 16, 7, 478
201, 17, 7, 478
201, 18, 6, 497
201, 19, 6, 513
211, 1, 115, 0
211, 2, 74, 41
211, 3, 53, 83
211, 4, 47, 107
211, 5, 34, 172
211, 6, 25, 225
211, 7, 18, 268
211, 8, 16, 286
211, 9, 13, 325
211, 10, 13, 347
211, 11, 11, 367
211, 12, 11, 375
211, 13, 11, 398
211, 14, 9, 437
211, 15, 7, 476
211, 16, 7, 476
211, 17, 7, 476
211, 18, 7, 493
211, 19, 6, 513
221, 1, 114, 0
221, 2, 73, 41
221, 3, 52, 83
221, 4, 47, 107
221, 5, 35, 165
221, 6, 25, 223
221, 7, 18, 265
221, 8, 16, 283
221, 9, 13, 321
221, 10, 12, 344
221, 11, 11, 367
221, 12, 10, 375
221, 13, 11, 395
221, 14, 9, 434
221, 15, 7, 473
221, 16, 7, 473
221, 17, 7, 476
221, 18, 7, 493
221, 19, 6, 513
231, 1, 109, 0
231, 2, 72, 37
231, 3, 52, 77
231, 4, 46, 104
231, 5, 35, 159
231, 6, 27, 207
231, 7, 20, 250
231, 8, 18, 268
231, 9, 14, 312
231, 10, 12, 344
231, 11, 10, 364
231, 12, 10, 375
231, 13, 10, 394
231, 14, 9, 432
231, 15, 9, 446
231, 16, 9, 446
231, 17, 7, 473
231, 18, 6, 493
231, 19, 6, 494
241, 1, 106, 0
241, 2, 71, 35
241, 3, 52, 73
241, 4, 46, 101
241, 5, 35, 151
241, 6, 28, 200
241, 7, 20, 250
241, 8, 19, 260
241, 9, 15, 300
241, 10, 13, 329
241, 11, 11, 349
241, 12, 9, 370
241, 13, 8, 389
241, 14, 9, 421
241, 15, 9, 428
241, 16, 9, 442
241, 17, 7, 473
241, 18, 6, 490
241, 19, 6, 491
251, 1, 105, 0
251, 2, 71, 34
251, 3, 53, 70
251, 4, 45, 100
251, 5, 36, 146
251, 6, 30, 188
251, 7, 20, 249
251, 8, 19, 258
251, 9, 15, 298
251, 10, 13, 329
251, 11, 11, 349
251, 12, 9, 370
251, 13, 8, 389
251, 14, 6, 421
251, 15, 7, 428
251, 16, 8, 441
251, 17, 7, 468
251, 18, 6, 489
251, 19, 6, 489
261, 1, 103, 0
261, 2, 69, 34
261, 3, 53, 66
261, 4, 44, 98
261, 5, 36, 136
261, 6, 28, 187
261, 7, 21, 241
261, 8, 19, 257
261, 9, 15, 295
261, 10, 13, 323
261, 11, 11, 347
261, 12, 9, 365
261, 13, 8, 380
261, 14, 7, 413
261, 15, 7, 427
261, 16, 7, 440
261, 17, 6, 467
261, 18, 6, 485
261, 19, 6, 485
271, 1, 102, 0
271, 2, 69, 33
271, 3, 53, 65
271, 4, 44, 93
271, 5, 36, 134
271, 6, 29, 178
271, 7, 20, 235
271, 8, 19, 253
271, 9, 16, 281
271, 10, 14, 308
271, 11, 12, 331
271, 12, 10, 351
271, 13, 8, 378
271, 14, 7, 398
271, 15, 7, 425
271, 16, 7, 430
271, 17, 6, 450
271, 18, 4, 484
271, 19, 4, 484
281, 1, 100, 0
281, 2, 67, 33
281, 3, 51, 65
281, 4, 43, 90
281, 5, 36, 129
281, 6, 29, 169
281, 7, 22, 222
281, 8, 19, 252
281, 9, 16, 281
281, 10, 15, 298
281, 11, 12, 330
281, 12, 10, 349
281, 13, 8, 375
281, 14, 7, 396
281, 15, 6, 418
281, 16, 7, 422
281, 17, 7, 437
281, 18, 4, 483
281, 19, 4, 483
291, 1, 94, 0
291, 2, 64, 30
291, 3, 50, 58
291, 4, 42, 83
291, 5, 34, 121
291, 6, 31, 151
291, 7, 21, 220
291, 8, 18, 250
291, 9, 15, 276
291, 10, 14, 291
291, 11, 11, 328
291, 12, 10, 341
291, 13, 8, 372
291, 14, 7, 393
291, 15, 7, 409
291, 16, 7, 421
291, 17, 6, 436
291, 18, 4, 482
291, 19, 4, 482
301, 1, 91, 0
301, 2, 62, 29
301, 3, 49, 55
301, 4, 41, 80
301, 5, 33, 118
301, 6, 30, 145
301, 7, 22, 206
301, 8, 18, 248
301, 9, 15, 273
301, 10, 14, 289
301, 11, 11, 326
301, 12, 10, 339
301, 13, 9, 358
301, 14, 7, 392
301, 15, 6, 408
301, 16, 7, 418
301, 17, 7, 424
301, 18, 6, 444
301, 19, 4, 481
311, 1, 87, 0
311, 2, 61, 26
311, 3, 47, 54
311, 4, 39, 79
311, 5, 31, 116
311, 6, 30, 139
311, 7, 21, 205
311, 8, 18, 235
311, 9, 16, 252
311, 10, 14, 283
311, 11, 14, 290
311, 12, 11, 326
311, 13, 9, 358
311, 14, 8, 378
311, 15, 6, 408
311, 16, 6, 416
311, 17, 7, 416
311, 18, 6, 433
311, 19, 5, 466
321, 1, 85, 0
321, 2, 61, 24
321, 3, 47, 52
321, 4, 39, 77
321, 5, 32, 109
321, 6, 30, 131
321, 7, 21, 198
321, 8, 18, 230
321, 9, 16, 247
321, 10, 14, 277
321, 11, 14, 285
321, 12, 12, 309
321, 13, 9, 357
321, 14, 8, 372
321, 15, 7, 386
321, 16, 6, 408
321, 17, 8, 408
321, 18, 7, 425
321, 19, 6, 437
331, 1, 83, 0
331, 2, 59, 24
331, 3, 45, 52
331, 4, 38, 77
331, 5, 31, 105
331, 6, 29, 127
331, 7, 21, 193
331, 8, 18, 219
331, 9, 16, 245
331, 10, 15, 263
331, 11, 16, 269
331, 12, 12, 309
331, 13, 9, 355
331, 14, 8, 372
331, 15, 7, 386
331, 16, 7, 388
331, 17, 8, 391
331, 18, 6, 425
331, 19, 6, 437
341, 1, 80, 0
341, 2, 56, 24
341, 3, 42, 52
341, 4, 37, 67
341, 5, 31, 99
341, 6, 29, 125
341, 7, 21, 183
341, 8, 18, 214
341, 9, 16, 235
341, 10, 15, 258
341, 11, 16, 265
341, 12, 14, 282
341, 13, 9, 351
341, 14, 8, 366
341, 15, 7, 381
341, 16, 7, 386
341, 17, 8, 387
341, 18, 7, 406
341, 19, 5, 434
351, 1, 78, 0
351, 2, 54, 24
351, 3, 40, 52
351, 4, 37, 61
351, 5, 31, 91
351, 6, 29, 122
351, 7, 21, 179
351, 8, 18, 212
351, 9, 16, 229
351, 10, 15, 246
351, 11, 16, 263
351, 12, 14, 282
351, 13, 9, 348
351, 14, 8, 362
351, 15, 7, 379
351, 16, 7, 379
351, 17, 8, 387
351, 18, 7, 406
351, 19, 5, 433
361, 1, 76, 0
361, 2, 54, 22
361, 3, 41, 48
361, 4, 37, 60
361, 5, 31, 91
361, 6, 29, 122
361, 7, 21, 175
361, 8, 19, 195
361, 9, 17, 220
361, 10, 15, 243
361, 11, 16, 252
361, 12, 14, 273
361, 13, 10, 330
361, 14, 9, 343
361, 15, 9, 346
361, 16, 7, 376
361, 17, 7, 376
361, 18, 6, 393
361, 19, 6, 411
371, 1, 73, 0
371, 2, 52, 21
371, 3, 41, 43
371, 4, 36, 59
371, 5, 31, 88
371, 6, 29, 121
371, 7, 21, 172
371, 8, 20, 185
371, 9, 17, 212
371, 10, 15, 240
371, 11, 16, 249
371, 12, 14, 266
371, 13, 13, 290
371, 14, 9, 343
371, 15, 9, 346
371, 16, 7, 376
371, 17, 7, 376
371, 18, 6, 393
371, 19, 6, 398
381, 1, 71, 0
381, 2, 52, 19
381, 3, 42, 39
381, 4, 36, 58
381, 5, 31, 87
381, 6, 29, 120
381, 7, 21, 171
381, 8, 20, 184
381, 9, 18, 203
381, 10, 15, 240
381, 11, 16, 248
381, 12, 14, 266
381, 13, 13, 288
381, 14, 10, 328
381, 15, 10, 331
381, 16, 7, 376
381, 17, 7, 376
381, 18, 6, 393
381, 19, 6, 395
391, 1, 69, 0
391, 2, 51, 18
391, 3, 43, 34
391, 4, 36, 57
391, 5, 31, 85
391, 6, 29, 111
391, 7, 20, 171
391, 8, 20, 182
391, 9, 18, 201
391, 10, 16, 226
391, 11, 16, 236
391, 12, 14, 265
391, 13, 13, 287
391, 14, 10, 326
391, 15, 10, 329
391, 16, 7, 375
391, 17, 7, 375
391, 18, 6, 392
391, 19, 6, 394
401, 1, 66, 0
401, 2, 48, 18
401, 3, 40, 34
401, 4, 34, 56
401, 5, 31, 83
401, 6, 29, 101
401, 7, 20, 166
401, 8, 19, 178
401, 9, 19, 191
401, 10, 16, 220
401, 11, 16, 230
401, 12, 14, 265
401, 13, 13, 287
401, 14, 10, 326
401, 15, 10, 329
401, 16, 7, 375
401, 17, 7, 375
401, 18, 6, 392
401, 19, 6, 392
411, 1, 65, 0
411, 2, 47, 18
411, 3, 39, 34
411, 4, 34, 54
411, 5, 31, 81
411, 6, 29, 98
411, 7, 20, 162
411, 8, 19, 174
411, 9, 18, 189
411, 10, 16, 218
411, 11, 16, 222
411, 12, 15, 245
411, 13, 16, 254
411, 14, 10, 324
411, 15, 10, 328
411, 16, 7, 375
411, 17, 7, 375
411, 18, 6, 392
411, 19, 6, 392
421, 1, 64, 0
421, 2, 47, 17
421, 3, 39, 33
421, 4, 34, 53
421, 5, 31, 80
421, 6, 29, 97
421, 7, 20, 159
421, 8, 19, 172
421, 9, 18, 182
421, 10, 18, 199
421, 11, 16, 221
421, 12, 15, 238
421, 13, 15, 248
421, 14, 10, 318
421, 15, 10, 325
421, 16, 9, 341
421, 17, 7, 374
421, 18, 6, 391
421, 19, 6, 391
431, 1, 64, 0
431, 2, 47, 17
431, 3, 39, 33
431, 4, 34, 52
431, 5, 31, 80
431, 6, 29, 96
431, 7, 20, 159
431, 8, 19, 171
431, 9, 18, 181
431, 10, 18, 194
431, 11, 17, 208
431, 12, 15, 229
431, 13, 16, 234
431, 14, 10, 317
431, 15, 10, 323
431, 16, 9, 341
431, 17, 7, 374
431, 18, 6, 391
431, 19, 6, 391
441, 1, 63, 0
441, 2, 46, 17
441, 3, 38, 33
441, 4, 35, 47
441, 5, 30, 72
441, 6, 27, 95
441, 7, 20, 152
441, 8, 18, 167
441, 9, 18, 181
441, 10, 18, 194
441, 11, 17, 208
441, 12, 15, 229
441, 13, 15, 232
441, 14, 10, 317
441, 15, 10, 322
441, 16, 9, 340
441, 17, 8, 357
441, 18, 6, 391
441, 19, 6, 391
451, 1, 63, 0
451, 2, 46, 17
451, 3, 38, 33
451, 4, 35, 47
451, 5, 30, 72
451, 6, 27, 95
451, 7, 20, 152
451, 8, 18, 166
451, 9, 18, 180
451, 10, 17, 193
451, 11, 16, 206
451, 12, 15, 216
451, 13, 15, 228
451, 14, 12, 287
451, 15, 10, 310
451, 16, 10, 318
451, 17, 8, 352
451, 18, 6, 386
451, 19, 6, 391
461, 1, 62, 0
461, 2, 47, 15
461, 3, 38, 33
461, 4, 35, 47
461, 5, 30, 72
461, 6, 27, 95
461, 7, 20, 152
461, 8, 18, 166
461, 9, 18, 179
461, 10, 17, 189
461, 11, 16, 206
461, 12, 15, 214
461, 13, 15, 226
461, 14, 12, 287
461, 15, 10, 308
461, 16, 10, 318
461, 17, 8, 351
461, 18, 6, 385
461, 19, 6, 390
471, 1, 62, 0
471, 2, 47, 15
471, 3, 38, 33
471, 4, 35, 47
471, 5, 30, 71
471, 6, 27, 94
471, 7, 20, 150
471, 8, 18, 166
471, 9, 18, 176
471, 10, 17, 187
471, 11, 16, 203
471, 12, 15, 213
471, 13, 15, 221
471, 14, 12, 281
471, 15, 10, 307
471, 16, 10, 307
471, 17, 8, 351
471, 18, 6, 385
471, 19, 6, 390
481, 1, 61, 0
481, 2, 46, 15
481, 3, 39, 29
481, 4, 35, 47
481, 5, 30, 70
481, 6, 27, 92
481, 7, 20, 149
481, 8, 18, 163
481, 9, 17, 174
481, 10, 17, 187
481, 11, 16, 203
481, 12, 15, 213
481, 13, 15, 221
481, 14, 12, 278
481, 15, 10, 304
481, 16, 10, 305
481, 17, 8, 351
481, 18, 6, 385
481, 19, 6, 389
491, 1, 59, 0
491, 2, 44, 15
491, 3, 37, 29
491, 4, 34, 43
491, 5, 29, 69
491, 6, 27, 86
491, 7, 20, 143
491, 8, 18, 157
491, 9, 17, 172
491, 10, 17, 183
491, 11, 16, 199
491, 12, 15, 211
491, 13, 15, 219
491, 14, 12, 276
491, 15, 10, 299
491, 16, 10, 300
491, 17, 8, 349
491, 18, 6, 383
491, 19, 6, 383
501, 1, 58, 0
501, 2, 43, 15
501, 3, 36, 29
501, 4, 34, 40
501, 5, 29, 68
501, 6, 27, 85
501, 7, 19, 142
501, 8, 18, 156
