Cluster,person_w_disabilty___1,person_w_disabilty___2,person_w_disabilty___3,person_w_disabilty___4,person_w_disabilty___5,person_w_disabilty___6,person_w_disabilty___7,activities_access___1,activities_access___2,activities_access___3,activities_access___4,activities_access___5,activities_access___6,income,age,zip_cd
C1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.3333333333333333,0.42857142857142855,0.8040380286219649
C3,1,0,0,1,0,0,0,1,0,0,0,0,0,1.0,1.0,0.1520642386235729
C1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.6666666666666666,0.42857142857142855,0.08920244412284933
C1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.2857142857142857,0.15288832609744332
C2,0,1,1,1,1,1,0,1,0,0,0,0,0,0.16666666666666666,1.0,0.08865975237176395
C1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0.42857142857142855,0.9999799003055153
C1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.6666666666666666,0.5714285714285714,1.0
C1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0.42857142857142855,0.9999899501527577
C1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.5,0.2857142857142857,0.48557846920726805
C1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0.2857142857142857,0.9112196494613282
C1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.5,0.2857142857142857,0.986111111111111
C1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.0,1.0,0.6552801897411159
C1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5,0.8571428571428571,0.5882477086348288
C1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5,0.8571428571428571,0.6091614407461007
C1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5,0.8571428571428571,0.37213579353593823
C1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.6666666666666666,0.7142857142857142,0.8546591091815404
C3,0,0,0,1,0,0,0,1,0,0,0,0,0,0.6666666666666666,0.8571428571428571,0.1659129281234925
C1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.16666666666666666,0.2857142857142857,0.1571997105643994
C1,0,0,1,0,0,1,0,1,0,0,0,0,0,0.3333333333333333,0.7142857142857142,0.6552801897411159
C3,1,0,0,0,0,0,1,1,0,0,0,0,0,1.0,1.0,0.15084820710725197
C2,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.8571428571428571,0.15779265155169642
C2,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3333333333333333,1.0,0.1574610065926998
C3,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6666666666666666,0.8571428571428571,0.15318982151471297
C3,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0.8571428571428571,0.152878276250201
C2,0,0,0,1,0,1,0,1,0,0,0,0,0,0.0,0.8571428571428571,0.16181259044862517
C3,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6666666666666666,0.8571428571428571,0.15555153561665863
C3,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0,0.8571428571428571,0.6080358578549606
C1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5,0.2857142857142857,0.6120457469046471
C3,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0,0.8571428571428571,0.6080358578549606
C2,1,0,0,1,0,0,0,1,0,0,0,0,0,0.3333333333333333,0.7142857142857142,0.6094629361633703
C3,0,0,0,1,1,1,1,1,0,0,0,0,0,0.8333333333333333,0.7142857142857142,0.6075434153400868
C1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.2857142857142857,0.6094227367744011
C1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.8333333333333333,0.42857142857142855,0.6041968162083936
C2,1,0,0,1,0,1,0,1,0,0,0,0,0,0.0,0.7142857142857142,0.6167691751085383
C2,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.8571428571428571,0.8570610226724553
C3,0,0,1,1,1,1,0,1,0,0,0,0,0,0.6666666666666666,0.8571428571428571,0.15748110628718442
C1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0.7142857142857142,0.9795586107091172
C3,0,0,0,1,0,0,0,1,0,0,0,0,0,0.6666666666666666,0.8571428571428571,0.15197378999839203
C2,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.8571428571428571,0.5558872005145522
C1,1,1,1,1,0,0,0,0,1,0,0,0,0,0.3333333333333333,0.2857142857142857,0.14652677279305354
C1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.5714285714285714,0.08945369030390737
C1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.2857142857142857,0.3738844669561023
C1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.6666666666666666,0.2857142857142857,0.9999899501527577
C1,0,1,1,0,0,0,0,0,1,0,0,0,0,0.5,0.42857142857142855,0.999969850458273
C1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.6666666666666666,0.5714285714285714,0.9999799003055153
C1,0,0,1,1,0,0,0,0,1,0,0,0,0,0.5,0.42857142857142855,0.9999799003055153
C1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5,0.2857142857142857,0.999969850458273
C1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,0.42857142857142855,0.11759326258240875
C1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.6666666666666666,0.2857142857142857,0.1416425470332851
C1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.3333333333333333,0.8571428571428571,0.7901993889692877
C1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.3333333333333333,0.5714285714285714,0.07551455217880688
C1,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.2857142857142857,0.08875020099694485
C1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6666666666666666,0.8571428571428571,0.7387341212413571
C3,0,0,1,1,0,0,0,1,1,0,0,0,0,0.5,0.5714285714285714,0.08881050008039877
C1,0,0,0,1,1,0,0,1,1,0,0,0,0,0.6666666666666666,0.2857142857142857,0.999969850458273
C1,0,0,0,1,0,0,0,1,1,0,0,0,0,0.6666666666666666,0.2857142857142857,0.9999799003055153
C1,0,0,1,0,0,0,0,1,1,0,0,0,0,0.5,0.2857142857142857,1.0
C1,0,1,0,0,0,0,0,1,1,0,0,0,0,0.6666666666666666,0.42857142857142855,1.0
C1,0,0,1,1,0,0,0,1,1,0,0,0,0,0.5,0.42857142857142855,0.9999899501527577
C1,0,1,0,0,0,0,0,1,1,0,0,0,0,0.6666666666666666,0.2857142857142857,0.9999799003055153
C1,0,0,0,1,0,0,0,1,1,0,0,0,0,0.6666666666666666,0.2857142857142857,0.9999899501527577
C1,0,0,1,1,0,0,0,1,1,0,0,0,0,0.6666666666666666,0.2857142857142857,0.9999899501527577
C1,0,0,0,1,0,0,0,1,1,0,0,0,0,0.8333333333333333,0.2857142857142857,0.999969850458273
C1,0,1,0,1,0,0,0,1,1,0,0,0,0,0.6666666666666666,0.42857142857142855,0.6931078147612156
C1,1,0,1,0,0,0,0,1,1,0,0,0,0,0.6666666666666666,0.42857142857142855,0.6206886155330439
C1,0,0,0,1,0,0,0,1,1,0,0,0,0,0.8333333333333333,0.42857142857142855,0.9044963016562149
C1,0,0,0,1,1,0,0,1,1,0,0,0,0,0.6666666666666666,1.0,0.7692253577745618
C3,0,0,0,0,0,0,1,1,1,0,0,0,0,1.0,0.8571428571428571,0.15313957227850136
C3,0,0,0,0,0,0,1,1,1,0,0,0,0,0.8333333333333333,1.0,0.07498191027496381
C3,1,1,0,1,0,0,1,1,1,0,0,0,0,1.0,1.0,0.8570610226724553
C1,1,1,1,0,0,0,0,0,0,1,0,0,0,0.6666666666666666,0.8571428571428571,0.9314700916546068
C1,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0.8571428571428571,0.9298721659430776
C1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.3333333333333333,0.2857142857142857,0.9046269496703649
C1,0,0,1,1,1,1,0,0,0,1,0,0,0,0.16666666666666666,0.14285714285714285,0.08095151953690304
C2,0,1,0,0,0,1,0,0,0,1,0,0,0,0.16666666666666666,0.5714285714285714,0.07079112397491558
C1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.14285714285714285,0.354176716513909
C2,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.7142857142857142,0.07063032641903844
C1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0.42857142857142855,0.45238382376587877
C1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.6666666666666666,0.8571428571428571,0.15079795787104036
C1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.14285714285714285,0.07035898054349574
C1,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0,0.5714285714285714,0.6218242482714262
C1,1,1,0,0,0,0,0,0,0,1,0,0,0,0.8333333333333333,0.7142857142857142,0.0
C1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.6666666666666666,0.5714285714285714,0.60439781315324
C2,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.7142857142857142,0.6031114327062228
C1,1,0,0,1,0,0,0,0,0,1,0,0,0,0.6666666666666666,0.5714285714285714,0.603553625984885
C1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.6666666666666666,0.2857142857142857,0.282842900787908
C1,0,0,1,0,0,0,0,1,0,1,0,0,0,0.16666666666666666,0.14285714285714285,0.2132276089403441
C2,0,0,1,0,1,1,0,1,0,1,0,0,0,0.5,0.7142857142857142,0.07089162244733879
C2,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.8571428571428571,0.21319745939861715
C4,0,0,1,0,0,1,0,1,0,1,0,0,0,1.0,0.7142857142857142,0.1509185560379482
C1,0,0,1,0,0,0,0,1,0,1,0,0,0,0.5,0.42857142857142855,0.22200112558289115
C2,0,0,1,0,1,1,0,1,0,1,0,0,0,0.0,0.7142857142857142,0.07669038430615854
C1,0,0,0,1,1,0,0,1,0,1,0,0,0,1.0,0.7142857142857142,0.9249577906415822
C1,0,0,0,1,0,0,0,1,0,1,0,0,0,0.5,0.2857142857142857,0.6080660073966876
C1,0,0,1,0,0,1,0,1,0,1,0,0,0,0.3333333333333333,0.2857142857142857,0.15296872487538188
C1,0,0,1,0,1,0,0,0,1,1,0,0,0,0.5,0.42857142857142855,0.2950233156456022
C1,0,0,1,0,0,0,0,1,1,1,0,0,0,0.8333333333333333,0.14285714285714285,0.0654848046309696
C1,0,1,1,1,0,0,0,1,1,1,0,0,0,0.5,0.8571428571428571,0.6332408747387039
C1,0,0,0,0,0,1,0,1,1,1,0,0,0,0.0,0.14285714285714285,0.07105242000321595
C1,0,0,0,1,0,0,0,1,1,1,0,0,0,0.0,0.14285714285714285,0.0638265798359865
C1,0,0,0,1,0,0,0,1,1,1,0,0,0,0.8333333333333333,0.14285714285714285,0.6037345232352468
C1,0,0,0,1,0,0,0,1,1,1,0,0,0,0.0,0.14285714285714285,0.5438474835182505
C1,0,0,0,1,0,0,0,1,1,1,0,0,0,0.6666666666666666,0.42857142857142855,0.6095332850940666
C1,0,1,1,1,0,0,0,0,0,0,1,0,0,0.8333333333333333,0.8571428571428571,0.9046771989065766
C2,1,0,1,1,0,1,0,0,0,0,1,0,0,0.0,1.0,0.9853171731789676
C2,0,0,0,1,0,0,0,1,0,0,1,0,0,0.0,0.7142857142857142,0.1872286541244573
C2,0,1,0,0,0,0,0,1,0,0,1,0,0,0.3333333333333333,0.42857142857142855,0.3031536420646406
C1,1,0,0,0,0,1,0,1,0,0,1,0,0,0.6666666666666666,0.2857142857142857,0.7980985689017527
C1,0,0,0,1,0,0,0,1,0,0,1,0,0,0.5,0.2857142857142857,0.6086488985367422
C2,0,0,0,1,0,0,0,1,0,0,1,0,0,0.0,0.7142857142857142,0.06524360829715388
C3,0,0,0,1,0,0,0,1,0,0,1,0,0,0.8333333333333333,0.7142857142857142,0.22150868306801735
C1,0,1,0,0,0,0,0,1,0,0,1,0,0,0.5,0.14285714285714285,0.9180937449750763
C3,0,0,0,1,0,0,0,1,0,0,1,0,0,0.5,1.0,0.15222503617945007
C2,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,0.8571428571428571,0.29732473066409393
C2,0,0,0,0,0,0,1,1,0,0,1,0,0,0.3333333333333333,0.8571428571428571,0.15311947258401673
C2,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,1.0,0.15221498633220776
C2,0,0,0,0,0,0,1,1,0,0,1,0,0,0.3333333333333333,0.8571428571428571,0.1515918958031838
C2,0,0,0,0,0,0,1,1,0,0,1,0,0,0.6666666666666666,0.8571428571428571,0.1676917510853835
C2,0,0,0,0,0,0,1,1,0,0,1,0,0,0.5,1.0,0.15276772793053545
C2,1,0,0,1,0,0,1,1,0,0,1,0,0,0.3333333333333333,1.0,0.15195369030390737
C2,0,0,0,0,0,1,0,1,0,0,1,0,0,0.16666666666666666,0.8571428571428571,0.152878276250201
C3,0,0,0,0,0,0,1,1,0,0,1,0,0,1.0,1.0,0.15307927319504744
C3,0,0,0,0,0,0,1,1,0,0,1,0,0,1.0,0.8571428571428571,0.6040058691107895
C2,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,1.0,0.8570610226724553
C1,0,0,0,1,1,0,0,1,0,0,1,0,0,0.5,0.5714285714285714,0.5340689821514712
C3,0,0,0,1,1,1,0,1,0,0,1,0,0,1.0,0.7142857142857142,0.24305555555555555
C3,0,0,0,1,0,0,1,1,0,0,1,0,0,0.8333333333333333,0.8571428571428571,0.15176274320630326
C2,0,0,0,1,1,1,1,1,0,0,1,0,0,0.0,0.8571428571428571,0.16185278983759446
C1,0,1,0,0,1,0,0,0,1,0,1,0,0,0.5,0.2857142857142857,0.28775727608940344
C1,0,0,1,0,0,0,0,0,1,0,1,0,0,0.5,0.2857142857142857,0.20270541887763305
C1,0,0,1,0,1,0,0,0,1,0,1,0,0,0.5,0.2857142857142857,0.2950233156456022
C1,0,0,1,0,1,0,0,0,1,0,1,0,0,0.5,0.42857142857142855,0.11269898697539797
C1,0,0,0,1,1,0,0,0,1,0,1,0,0,0.6666666666666666,0.2857142857142857,0.5568720855442997
C1,1,0,0,0,0,1,0,0,1,0,1,0,0,0.16666666666666666,0.5714285714285714,0.3247306640939058
C3,0,0,1,1,1,1,0,1,1,0,1,0,0,1.0,0.5714285714285714,0.16717920887602508
C1,0,1,1,1,1,0,0,1,1,0,1,0,0,0.0,0.5714285714285714,0.8052842096800128
C3,0,0,1,0,0,0,0,1,1,0,1,0,0,0.5,0.8571428571428571,0.0744191188293938
C1,0,0,0,1,0,0,0,1,1,0,1,0,0,0.6666666666666666,0.42857142857142855,0.23723669400225117
C1,1,0,1,0,0,1,0,1,1,0,1,0,0,0.16666666666666666,0.42857142857142855,0.98857332368548
C5,0,0,0,1,0,0,0,1,1,0,1,0,0,0.8333333333333333,0.8571428571428571,0.9313394436404566
C5,0,0,0,1,0,0,0,1,1,0,1,0,0,0.8333333333333333,1.0,0.6733598649300531
C5,0,0,0,1,0,0,0,1,1,0,1,0,0,1.0,0.8571428571428571,0.9313394436404566
C2,0,0,0,1,0,0,0,1,1,0,1,0,0,0.0,0.7142857142857142,0.20849413088921048
C3,0,0,0,1,1,1,1,1,1,0,1,0,0,0.6666666666666666,0.8571428571428571,0.9247768933912205
C2,0,0,0,1,0,0,1,1,1,0,1,0,0,0.3333333333333333,0.8571428571428571,0.1478332529345554
C3,0,0,0,0,0,0,1,1,1,0,1,0,0,1.0,1.0,0.1509185560379482
C3,0,0,0,0,0,0,1,1,1,0,1,0,0,0.6666666666666666,1.0,0.15292852548641261
C2,0,0,0,0,0,0,1,1,1,0,1,0,0,0.0,1.0,0.8570610226724553
C3,1,0,0,1,0,0,1,1,1,0,1,0,0,0.6666666666666666,1.0,0.8570610226724553
C1,0,0,0,1,0,0,0,1,1,0,1,0,0,0.8333333333333333,0.42857142857142855,0.6092016401350699
C1,0,0,0,0,0,1,0,1,1,0,1,0,0,0.6666666666666666,0.14285714285714285,0.6077946615211449
C3,0,0,1,1,1,1,0,1,1,0,1,0,0,1.0,0.42857142857142855,0.6074328670204213
C2,0,0,0,0,0,0,1,1,1,0,1,0,0,0.5,1.0,0.8570610226724553
C2,0,0,0,0,0,1,0,0,0,1,1,0,0,0.0,0.7142857142857142,0.07040922977970734
C2,0,0,0,1,0,0,0,1,0,1,1,0,0,0.0,0.7142857142857142,0.07638888888888888
C1,0,0,1,0,1,0,0,1,0,1,1,0,0,0.6666666666666666,0.42857142857142855,0.13416546068499757
C2,0,0,0,1,0,0,0,1,0,1,1,0,0,0.5,0.5714285714285714,0.11433711207589645
C2,0,0,0,1,0,0,0,1,0,1,1,0,0,0.5,0.8571428571428571,0.15294862518089725
C1,0,0,0,1,0,0,0,1,0,1,1,0,0,1.0,0.5714285714285714,0.607050972825213
C1,0,0,0,1,0,0,0,0,1,1,1,0,0,1.0,0.42857142857142855,0.29878195851423056
C2,0,0,0,1,0,0,0,0,1,1,1,0,0,0.16666666666666666,0.5714285714285714,0.28345594146968967
C1,0,0,0,1,1,0,0,1,1,1,1,0,0,0.5,0.2857142857142857,0.9457207750442194
C1,0,0,0,1,0,0,0,1,1,1,1,0,0,1.0,0.42857142857142855,0.30056078147612153
C4,0,0,0,1,1,1,0,1,1,1,1,0,0,0.5,0.42857142857142855,0.40245618266602345
C1,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0,0.5714285714285714,0.15149139733076056
C2,0,0,1,0,1,0,0,0,0,0,0,1,0,0.16666666666666666,0.7142857142857142,0.28858136356327385
C1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.16666666666666666,0.2857142857142857,0.3067012381411802
C2,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.8571428571428571,0.11433711207589645
C1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.14285714285714285,0.1181661038752211
C1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3333333333333333,0.2857142857142857,0.8754522431259044
C1,0,0,0,1,1,1,0,1,0,0,0,1,0,0.16666666666666666,0.14285714285714285,0.3276350699469368
C2,0,0,0,1,0,0,0,1,0,0,0,1,0,0.3333333333333333,1.0,0.07059012703006914
C1,0,0,0,1,0,1,0,1,0,0,0,1,0,0.5,0.2857142857142857,0.930756552500402
C1,0,1,0,0,0,1,0,1,0,0,0,1,0,0.5,0.2857142857142857,0.38530109342338
C1,0,0,0,0,1,0,0,1,0,0,0,1,0,0.5,0.42857142857142855,0.20067534973468404
C2,0,1,0,1,0,1,0,1,0,0,0,1,0,0.5,0.7142857142857142,0.0892325936645763
C2,0,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0.8571428571428571,0.8570610226724553
C1,0,0,1,0,0,0,0,1,0,0,0,1,0,0.5,0.42857142857142855,0.28489306962534167
C3,0,0,0,1,0,0,0,1,0,0,0,1,0,0.6666666666666666,0.8571428571428571,0.6038852709438817
C1,0,0,1,1,0,0,0,0,1,0,0,1,0,0.3333333333333333,0.2857142857142857,0.2847523717639492
C1,0,0,1,1,0,0,0,0,1,0,0,1,0,0.3333333333333333,0.42857142857142855,0.2773858337353272
C1,0,0,1,0,0,0,0,0,1,0,0,1,0,0.3333333333333333,0.2857142857142857,0.20270541887763305
C1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.5,0.2857142857142857,0.17142024441228493
C1,0,1,0,0,1,0,0,0,1,0,0,1,0,0.5,0.2857142857142857,0.31214825534651874
C1,0,1,0,0,1,0,0,0,1,0,0,1,0,0.5,0.2857142857142857,0.24273396044380124
C1,1,0,1,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.2857142857142857,0.9868748995015275
C1,1,0,0,0,1,0,0,0,1,0,0,1,0,0.3333333333333333,0.2857142857142857,0.9623532722302621
C1,1,0,0,0,0,0,0,1,1,0,0,1,0,0.6666666666666666,0.42857142857142855,0.3330217880688213
C3,0,0,0,1,0,0,1,1,1,0,0,1,0,0.6666666666666666,1.0,0.15288832609744332
C1,0,1,1,1,0,1,0,1,1,0,0,1,0,0.6666666666666666,0.42857142857142855,0.6091011416626467
C1,0,0,1,0,0,0,0,0,0,1,0,1,0,0.5,0.2857142857142857,0.2124939700916546
C1,0,0,1,0,1,0,0,0,0,1,0,1,0,0.6666666666666666,0.42857142857142855,0.17142024441228493
C1,0,0,1,0,1,0,0,0,0,1,0,1,0,0.6666666666666666,0.42857142857142855,0.2765014471780029
C1,0,0,1,0,0,0,0,0,0,1,0,1,0,0.3333333333333333,0.2857142857142857,0.33303183791606367
C1,0,0,1,0,0,0,0,0,0,1,0,1,0,0.5,0.2857142857142857,0.28346599131693195
C1,0,0,1,0,0,0,0,0,0,1,0,1,0,0.6666666666666666,0.42857142857142855,0.9046972986010613
C1,0,0,0,1,0,0,0,0,0,1,0,1,0,0.6666666666666666,0.7142857142857142,0.35649823122688534
C1,0,1,0,0,0,0,0,1,0,1,0,1,0,0.6666666666666666,0.8571428571428571,0.9196012220614247
C1,0,0,0,1,0,0,0,1,0,1,0,1,0,0.5,0.42857142857142855,0.9224654285254864
C1,0,0,0,1,0,0,0,1,0,1,0,1,0,1.0,0.42857142857142855,0.08865975237176395
C1,1,0,0,0,0,0,0,1,0,1,0,1,0,0.8333333333333333,0.8571428571428571,0.6075836147290561
C1,0,0,0,1,0,0,0,1,0,1,0,1,0,0.3333333333333333,0.5714285714285714,0.15312952243125905
C2,0,0,1,1,1,1,0,1,0,1,0,1,0,0.0,0.8571428571428571,0.29732473066409393
C1,0,1,1,1,0,0,0,1,0,1,0,1,0,0.16666666666666666,0.14285714285714285,0.7560299083453932
C2,0,1,0,1,1,1,0,1,0,1,0,1,0,0.0,1.0,0.15307927319504744
C1,0,0,1,0,1,0,0,0,1,1,0,1,0,0.6666666666666666,0.42857142857142855,0.10050852227046149
C1,0,0,1,1,0,0,0,0,1,1,0,1,0,0.5,0.42857142857142855,0.13568298761858819
C2,0,0,1,0,1,1,0,1,1,1,0,1,0,0.0,0.5714285714285714,0.07050972825213056
C1,0,0,0,1,0,0,0,0,0,0,1,1,0,0.3333333333333333,0.42857142857142855,0.8104498311625663
C2,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0.8571428571428571,0.15307927319504744
C3,0,1,0,1,1,1,0,1,0,0,1,1,0,1.0,0.7142857142857142,0.9050490432545425
C3,0,0,1,1,1,1,0,1,0,0,1,1,0,1.0,0.7142857142857142,0.9818801254220936
C5,0,0,0,1,0,0,0,1,0,0,1,1,0,0.5,0.8571428571428571,0.7349654285254864
C5,0,0,0,1,0,0,0,1,0,0,1,1,0,0.6666666666666666,0.8571428571428571,0.8572620196173018
C2,0,0,0,1,1,0,0,1,0,0,1,1,0,0.0,0.8571428571428571,0.15176274320630326
C3,0,0,0,1,0,0,0,1,0,0,1,1,0,1.0,1.0,0.5182304228975719
C2,0,1,0,1,0,1,0,1,0,0,1,1,0,0.3333333333333333,0.14285714285714285,0.11285978453127513
C2,1,0,0,1,0,0,1,1,0,0,1,1,0,0.0,1.0,0.16146084579514391
C1,0,0,0,1,0,0,0,1,0,0,1,1,0,0.6666666666666666,0.42857142857142855,0.6083373532722303
C3,1,0,0,1,1,1,0,1,0,0,1,1,0,0.6666666666666666,0.5714285714285714,0.47213177359704134
C5,0,0,0,1,0,0,0,1,0,0,1,1,0,0.3333333333333333,0.7142857142857142,0.9300530631934394
C1,1,0,0,0,0,0,0,0,1,0,1,1,0,0.3333333333333333,0.2857142857142857,0.3317957067052581
C3,0,0,0,1,0,0,0,0,1,0,1,1,0,0.5,0.8571428571428571,0.3739347161923139
